source,target,value
2707699706,928618363,2/19/16 14:30
1408632948,914061,2/19/16 14:30
1460883559,2832807293,2/19/16 14:30
4751570748,4121225056,2/19/16 14:30
3248096857,16710420,2/19/16 14:30
607061903,3314758074,2/19/16 14:30
166378975,351951741,2/19/16 14:30
3462708383,514718176,2/19/16 14:30
180973243,52165222,2/19/16 14:30
3398531592,15576928,2/19/16 14:30
2813394354,3648682814,2/19/16 14:30
273034006,2679989365,2/19/16 14:31
41584867,554692292,2/19/16 14:31
704338584,4774532193,2/19/16 14:31
954397980,351951741,2/19/16 14:31
104979795,18686907,2/19/16 14:31
2765961737,4774532193,2/19/16 14:31
7.00688E+17,109361219,2/19/16 14:31
2323916868,41410702,2/19/16 14:31
3740513716,4693602139,2/19/16 14:31
28534205,15754281,2/19/16 14:31
8383552,914061,2/19/16 14:31
382250592,2274924564,2/19/16 14:31
545227477,2832807293,2/19/16 14:31
142100367,147589125,2/19/16 14:31
1601455440,2832807293,2/19/16 14:31
4916548565,361859989,2/19/16 14:31
1736108306,6160792,2/19/16 14:31
4357473734,160273215,2/19/16 14:31
32730444,7702542,2/19/16 14:31
4493551693,67514751,2/19/16 14:31
61340600,13673392,2/19/16 14:31
2466583518,2832807293,2/19/16 14:31
3592477283,3493352534,2/19/16 14:31
4826399772,2236702673,2/19/16 14:31
2920659436,3375422393,2/19/16 14:31
18626244,274355165,2/19/16 14:31
825070002,87957969,2/19/16 14:31
98993077,15741036,2/19/16 14:31
4866494759,225661296,2/19/16 14:31
41174721,17626317,2/19/16 14:31
598813780,190298721,2/19/16 14:31
625175087,26900055,2/19/16 14:31
3633874334,3946915763,2/19/16 14:31
4085135908,17980523,2/19/16 14:31
4111631055,4121225056,2/19/16 14:31
4924855475,40116885,2/19/16 14:31
163792071,2832807293,2/19/16 14:31
3481965513,29181351,2/19/16 14:31
4698002720,498324020,2/19/16 14:31
7.00034E+17,3438820032,2/19/16 14:31
433851538,124175717,2/19/16 14:31
934824404,41410702,2/19/16 14:31
2570294295,28785486,2/19/16 14:31
7.00687E+17,109361219,2/19/16 14:31
1013062482,2646849841,2/19/16 14:31
2924308076,14434063,2/19/16 14:31
3532804813,549600704,2/19/16 14:31
3012168862,3314758074,2/19/16 14:31
2771588954,261330050,2/19/16 14:31
7.00688E+17,109361219,2/19/16 14:31
357682702,54079187,2/19/16 14:31
199636296,3889878142,2/19/16 14:31
56905881,18791763,2/19/16 14:31
2440589047,368196789,2/19/16 14:31
374490467,149249831,2/19/16 14:31
262935830,67514751,2/19/16 14:31
58346674,3181032174,2/19/16 14:31
510128536,106013224,2/19/16 14:31
368901775,2832807293,2/19/16 14:31
357736996,18857913,2/19/16 14:31
313127458,39294154,2/19/16 14:31
426865910,17372211,2/19/16 14:31
284993758,105165371,2/19/16 14:31
510128536,337305138,2/19/16 14:31
2278175328,41067762,2/19/16 14:31
182609877,253093355,2/19/16 14:31
1428929930,249598441,2/19/16 14:31
1241408113,322755208,2/19/16 14:31
4349621839,1292002213,2/19/16 14:31
2167344427,3181032174,2/19/16 14:31
510128536,529009225,2/19/16 14:31
3001664273,2908170952,2/19/16 14:31
241776425,16711026,2/19/16 14:31
29557078,347627434,2/19/16 14:31
7.00687E+17,109361219,2/19/16 14:31
2288462990,266894776,2/19/16 14:31
4624660720,29465136,2/19/16 14:31
614346826,192353568,2/19/16 14:31
240159070,150052601,2/19/16 14:31
27463702,347627434,2/19/16 14:31
829380451,35002876,2/19/16 14:31
73163090,594886554,2/19/16 14:31
2556018119,3181032174,2/19/16 14:31
82519176,1517872886,2/19/16 14:31
3633874334,3314758074,2/19/16 14:31
47602447,1129762164,2/19/16 14:31
27463702,347627434,2/19/16 14:31
188011806,139610735,2/19/16 14:31
921987896,14293310,2/19/16 14:31
823700479,2832807293,2/19/16 14:31
3598025592,28785486,2/19/16 14:31
27463702,347627434,2/19/16 14:31
129235890,3181032174,2/19/16 14:31
3432635795,2825253076,2/19/16 14:31
1249994090,15757578,2/19/16 14:31
235733373,2832807293,2/19/16 14:31
1660944290,27987687,2/19/16 14:31
531317095,65228322,2/19/16 14:32
627763471,406745135,2/19/16 14:32
450776559,14940354,2/19/16 14:32
3432635795,972651,2/19/16 14:32
170296342,3397169446,2/19/16 14:32
29544925,3375422393,2/19/16 14:32
4535475855,2195203470,2/19/16 14:32
777088074,3889878142,2/19/16 14:32
254127340,3108351,2/19/16 14:32
3331658650,18622869,2/19/16 14:32
36394205,28785486,2/19/16 14:32
3532804813,2545200280,2/19/16 14:32
1368328147,18772897,2/19/16 14:32
204195016,28785486,2/19/16 14:32
637015681,16193222,2/19/16 14:32
3964778867,3378552089,2/19/16 14:32
3170023594,351951741,2/19/16 14:32
433773373,16711026,2/19/16 14:32
3964778867,3378552089,2/19/16 14:32
15589520,3314758074,2/19/16 14:32
99980719,1517872886,2/19/16 14:32
7.00689E+17,109361219,2/19/16 14:32
1287004026,5695632,2/19/16 14:32
2734291692,358091193,2/19/16 14:32
1922117300,333072047,2/19/16 14:32
1179691368,97474887,2/19/16 14:32
2278175328,382728933,2/19/16 14:32
433773373,18791763,2/19/16 14:32
2971582397,2274924564,2/19/16 14:32
149961197,284183389,2/19/16 14:32
2178843393,2274924564,2/19/16 14:32
627763471,124087958,2/19/16 14:32
3958436614,90878730,2/19/16 14:32
473522137,16007460,2/19/16 14:32
29054598,25073877,2/19/16 14:32
4899435941,28785486,2/19/16 14:32
2402679970,912791533,2/19/16 14:32
18018958,2347049341,2/19/16 14:32
3720737542,3946915763,2/19/16 14:32
51043217,133546344,2/19/16 14:32
495287132,28785486,2/19/16 14:32
534655010,4832887254,2/19/16 14:32
55648549,351951741,2/19/16 14:32
2717886038,77474447,2/19/16 14:32
883421593,14434063,2/19/16 14:32
942314940,4774532193,2/19/16 14:32
487191523,194615561,2/19/16 14:32
248902452,5695632,2/19/16 14:32
2205248654,2274924564,2/19/16 14:32
528841683,551519702,2/19/16 14:32
7.00673E+17,109361219,2/19/16 14:32
2745172804,1187647735,2/19/16 14:32
2569952185,2460687278,2/19/16 14:32
971248094,1478568235,2/19/16 14:32
94738910,18828839,2/19/16 14:32
4143407722,4263893061,2/19/16 14:32
2272062752,2697587450,2/19/16 14:32
3032745635,15168829,2/19/16 14:32
2453323633,3016100965,2/19/16 14:32
2435406512,293483941,2/19/16 14:32
4498771938,3740513716,2/19/16 14:32
605963171,1065869268,2/19/16 14:32
19341702,149249831,2/19/16 14:32
2864372151,3094463713,2/19/16 14:32
120313351,301812862,2/19/16 14:32
517501612,4740748026,2/19/16 14:32
114618256,16298441,2/19/16 14:32
1624371685,274355165,2/19/16 14:32
7.00688E+17,109361219,2/19/16 14:32
28417879,2438013757,2/19/16 14:32
